Y,DATETIME,TOTAL_DL
2015,2015/6/23,76880983.01
2015,2015/6/24,82786160.58
2015,2015/6/25,85298241.3
2015,2015/6/26,86739210.12
2015,2015/6/27,86920659.11
2015,2015/6/28,85391303.86
2015,2015/6/29,79792408.94
2015,2015/6/30,84005816.11
2015,2015/7/1,85775355.33
2015,2015/7/2,80940868.83
2015,2015/7/3,81664831.27
2015,2015/7/4,81683466.21
2015,2015/7/5,79902790.82
2015,2015/7/6,74265641.55
2015,2015/7/7,77507255.29
2015,2015/7/8,77898995.64
2015,2015/7/9,78127223.44
2015,2015/7/10,80051458.65
2015,2015/7/11,75820562.81
2015,2015/7/12,60267213.09
2015,2015/7/13,67710218.56
2015,2015/7/14,81361573.23
2015,2015/7/15,84362602
2015,2015/7/16,85453312.05
2015,2015/7/17,85272992.97
2015,2015/7/18,85884348.57
2015,2015/7/19,83988425.94
2015,2015/7/20,79389596.8
2015,2015/7/21,84208006
2015,2015/7/22,83685079.29
2015,2015/7/23,85471918.48
2015,2015/7/24,85292708.45
2015,2015/7/25,86362545.79
2015,2015/7/26,84859269.54
2015,2015/7/27,80858413.33
2015,2015/7/28,86731784.66
2015,2015/7/29,87852052.62
2015,2015/7/30,86806881.6
2015,2015/7/31,85366014.27
2015,2015/8/1,85918281.9
2015,2015/8/2,84145462.4
2015,2015/8/3,80728435.52
2015,2015/8/4,87354316.23
2015,2015/8/5,88171068.54
2015,2015/8/6,88157053.81
2015,2015/8/7,87392434.77
2015,2015/8/8,86833266.46
2015,2015/8/9,84105916.03
2015,2015/8/10,78759662.36
2015,2015/8/11,82189983.86
2015,2015/8/12,83005809.38
2015,2015/8/13,84491920.28
2015,2015/8/14,84432894.62
2015,2015/8/15,84468726.48
2015,2015/8/16,83590888.62
2015,2015/8/17,79135578.25
2015,2015/8/18,83914456.82
2015,2015/8/19,85500603.46
2015,2015/8/20,86841674.52
2015,2015/8/21,86512489.83
2015,2015/8/22,84297323.52
2015,2015/8/23,82279396.5
2015,2015/8/24,77551389.03
2015,2015/8/25,80395328.06
2015,2015/8/26,82069609.95
2015,2015/8/27,82637875.13
2015,2015/8/28,84253748.66
2015,2015/8/29,85004232.96
2015,2015/8/30,83136057.25
2015,2015/8/31,80351711.77
2015,2015/9/1,83036727.88
2015,2015/9/2,85223064.88
2015,2015/9/3,86129859.98
2015,2015/9/4,71718286.3
2015,2015/9/5,77821990.71
2015,2015/9/6,82917356.83
2015,2015/9/7,83980295.64
2015,2015/9/8,85597730.17
2015,2015/9/9,86535833.37
2015,2015/9/10,86041586.69
2015,2015/9/11,85549462.98
2015,2015/9/12,85899053.2
2015,2015/9/13,83742856.65
2015,2015/9/14,80095340.94
2015,2015/9/15,82462306.28
2015,2015/9/16,82487510.63
2015,2015/9/17,83331817.79
2015,2015/9/18,84127781
2015,2015/9/19,84798151.46
2015,2015/9/20,82654822.81
2015,2015/9/21,79469546.28
2015,2015/9/22,82529112.36
2015,2015/9/23,82919648.67
2015,2015/9/24,82591892.3
2015,2015/9/25,83821143.37
2015,2015/9/26,83819566.85
2015,2015/9/27,81233094.18
2015,2015/9/28,68117014.45
2015,2015/9/29,76090743.03
2015,2015/9/30,80467510.32
2015,2015/10/1,79811713.28
2015,2015/10/2,56032169.76
2015,2015/10/3,53296745.13
2015,2015/10/4,61504145.71
2015,2015/10/5,69848283.2
2015,2015/10/6,74842741.31
2015,2015/10/7,77709710.84
2015,2015/10/8,78754487.6
2015,2015/10/9,79733752.3
2015,2015/10/10,80071907.19
2015,2015/10/11,80099912.56
2015,2015/10/12,77348936.93
2015,2015/10/13,80191602.7
2015,2015/10/14,81391610.21
2015,2015/10/15,81671602.96
2015,2015/10/16,82421335.85
2015,2015/10/17,82312053.25
2015,2015/10/18,81059886.99
2015,2015/10/19,77746690.5
2015,2015/10/20,81012650.65
2015,2015/10/21,81734859.39
2015,2015/10/22,82216379.02
2015,2015/10/23,82091348.59
2015,2015/10/24,82436951.18
2015,2015/10/25,81139972
2015,2015/10/26,77506458.87
2015,2015/10/27,80922076.87
2015,2015/10/28,81406957.64
2015,2015/10/29,81256401.61
2015,2015/10/30,81695815.31
2015,2015/10/31,81892352.13
2015,2015/11/1,79394202.44
2015,2015/11/2,75929415.85
2015,2015/11/3,79624206.35
2015,2015/11/4,81241493.3
2015,2015/11/5,81770127.64
2015,2015/11/6,81614916.99
2015,2015/11/7,82840215.97
2015,2015/11/8,81691833.58
2015,2015/11/9,77389563.99
